,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
701,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD +  1TB HDD,Intel HD,Windows,2.1,62145
702,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.9,45000
703,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.18,79500
704,Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.6,99900
705,Lenovo,Workstation,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows,2.18,185500
706,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.8,119100
707,HP,Notebook,17.3,1920x1080,AMD A10 Series,6,2TB HDD,AMD Radeon,Windows,2.71,65501
708,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,124900
709,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Linux,1.64,108900
710,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Linux,1.98,72600
711,Asus,Notebook,14.0,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.5,29800
712,Dell,Notebook,15.6,1920x1080,Intel Core i5,16,512GB SSD,Intel HD,Windows,1.93,142666
713,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.87,85707
714,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.9,117900
715,Lenovo,Notebook,15.6,1366x768,AMD A6 Series,4,500GB HDD,AMD Radeon,Windows,2.19,29800
716,Mediacom,Notebook,14.0,1920x1200,Intel Atom Z8350,4,32GB HDD,Intel HD,Windows,1.4,26500
717,HP,Notebook,17.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.63,120000
718,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.17,168664
719,HP,2 in 1 Convertible,13.3,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.58,83660
720,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.32,149900
721,Dell,Gaming,17.3,3840x2160,Intel Core i7,32,1TB SSD +  1TB HDD,Nvidia GeForce,Windows,4.36,365940
722,MSI,Gaming,17.3,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,134848
723,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,No OS,1.9,48990
724,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.2,71900
725,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.71,64900
726,Dell,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.32,58952
727,HP,Notebook,15.6,1920x1080,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.1,48900
728,Acer,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.2,193500
729,Dell,Notebook,15.6,1366x768,Intel Core i5,12,1TB HDD,Intel HD,Windows,2.25,64900
730,HP,Notebook,15.6,1920x1080,AMD A9 Series,6,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.1,65000
731,Acer,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.4,55900
732,Lenovo,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.44,96000
733,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,4,1TB HDD,Intel HD,Windows,1.85,77900
734,HP,Workstation,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows,2.6,241900
735,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,1TB HDD,Intel UHD,Windows,1.55,65900
736,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.8,209448
737,Acer,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.4,41080
738,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.0,120700
739,Dell,Notebook,15.6,1366x768,Intel Core i3,8,256GB SSD,Intel HD,Windows,2.0,66500
740,Toshiba,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.25,153500
741,Lenovo,2 in 1 Convertible,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.7,99900
742,Lenovo,Workstation,15.6,3840x2160,Intel Core i7,16,1TB SSD,Nvidia Quadro,Windows,2.5,329900
743,Acer,Notebook,14.0,1366x768,Intel Celeron Dual,2,32GB Flash Storage,Intel HD,Chrome OS,1.68,33000
744,Samsung,Ultrabook,13.3,1920x1080,Intel Core i7,16,256GB SSD,Intel HD,Windows,0.81,164900
745,HP,Notebook,15.6,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,Windows,1.86,53900
746,Dell,Notebook,14.0,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,112671
747,Lenovo,Netbook,11.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,Windows,1.4,47500
748,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.84,190000
749,Asus,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Nvidia GeForce,No OS,2.45,57900
750,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i5,4,1GB SSD,Intel HD,Windows,1.7,109600
751,Asus,Notebook,15.6,1366x768,Intel Core i7,4,256GB SSD,Intel HD,Windows,2.37,84990
752,Lenovo,2 in 1 Convertible,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.3,119900
753,HP,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,109900
754,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,2.59,156100
755,Dell,Gaming,15.6,3840x2160,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,286899
756,Acer,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.1,59900
757,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,104800
758,Dell,Ultrabook,12.5,1920x1080,Intel Core i7,16,256GB SSD,Intel HD,Windows,1.18,185900
759,Google,Ultrabook,12.3,2400x1600,Intel Core i5,8,256GB SSD,Intel HD,Chrome OS,1.1,155900
760,Asus,Ultrabook,13.3,3200x1800,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,112900
761,Dell,Notebook,13.3,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.65,84900
762,Acer,Notebook,13.3,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.6,65500
763,Asus,Notebook,17.3,1366x768,Intel Pentium Quad,4,1TB HDD,Nvidia GeForce,Windows,2.8,47034
764,Dell,Gaming,15.6,3840x2160,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.72,109900
765,Samsung,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.31,159900
766,Acer,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Linux,2.1,29800
767,Dell,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,AMD Radeon,Windows,2.3,118127
768,Samsung,2 in 1 Convertible,15.0,1920x1080,Intel Core i7,16,256GB SSD,AMD Radeon,Windows,1.71,179900
769,Toshiba,Notebook,14.0,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.75,102000
770,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.62,109900
771,HP,Ultrabook,12.5,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.26,124400
772,Asus,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,12,2TB HDD,Nvidia GeForce,Windows,2.3,83900
773,Lenovo,Notebook,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows,2.5,237000
774,Acer,Notebook,14.0,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.8,63600
775,Razer,Gaming,14.0,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,1.95,289900
776,Asus,Notebook,15.6,1920x1080,Intel Pentium Dual,8,128GB SSD,Intel HD,Windows,2.0,58190
777,Dell,Gaming,17.3,1920x1080,Intel Core i7,32,1TB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,358880
778,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.3,235000
779,Toshiba,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,1.47,176400
780,Lenovo,Notebook,15.6,1366x768,Intel Celeron Quad,8,1TB HDD,Intel HD,No OS,2.2,32900
781,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.7,229900
782,MSI,Gaming,14.0,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.6,189100
783,MSI,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,108900
784,Lenovo,Gaming,15.6,1920x1080,Intel Core i7,4,1TB HDD,Nvidia GeForce,Windows,2.4,99900
785,Acer,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.2,229900
786,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.62,98500
787,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.24,133900
788,Vero,Notebook,14.0,1920x1080,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.22,20290
789,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.37,197000
790,Lenovo,2 in 1 Convertible,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.08,95900
791,Apple,Ultrabook,12.0,2304x1440,Intel Core M,8,512GB Flash Storage,Intel HD,Mac OS,0.92,116500
792,Lenovo,2 in 1 Convertible,14.0,2560x1440,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.42,233000
793,Asus,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.63,29900
794,Dell,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.95,81000
795,Lenovo,2 in 1 Convertible,13.9,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.38,134900
796,Dell,Notebook,15.6,1920x1080,Intel Core i3,8,256GB SSD,AMD Radeon,Windows,2.0,73900
797,HP,Workstation,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows,3.14,206490
798,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.37,109900
799,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.29,149900
800,Dell,Notebook,15.6,3840x2160,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.06,174900
801,Dell,Netbook,11.6,1366x768,Intel Pentium Quad,4,128GB SSD,Intel HD,Windows,1.63,74400
802,HP,Netbook,12.5,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.26,138900
803,Toshiba,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.1,78000
804,HP,Notebook,15.6,1366x768,AMD A12 Series,8,2TB HDD,AMD Radeon,Windows,2.04,62900
805,Dell,Gaming,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.62,167900
806,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows,2.4,60900
807,HP,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,AMD Radeon,Windows,3.74,174900
808,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,241500
809,Samsung,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,0.81,149900
810,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,1.98,96100
811,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.18,78981
812,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.32,185900
813,Razer,Ultrabook,12.5,3840x2160,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.29,179900
814,HP,Netbook,11.6,1366x768,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,1.23,38500
815,Dell,Gaming,17.3,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.36,250502
816,Dell,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.76,75500
817,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.1,48990
818,Toshiba,Ultrabook,14.0,1366x768,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.25,109000
819,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.13,249900
820,MSI,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.4,119900
821,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB Flash Storage,Intel HD,Windows,1.13,187500
822,Toshiba,Notebook,14.0,1366x768,Intel Pentium Dual,4,128GB SSD,Intel HD,Windows,1.75,49900
823,Asus,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.1,135800
824,Dell,Notebook,14.0,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,1.76,58500
825,Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.35,35500
826,Acer,Notebook,14.0,1920x1080,Intel Core i3,8,128GB SSD,Intel HD,Windows,1.5,61900
827,Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.1,209900
828,Asus,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce,Linux,2.1,51900
829,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.7,118600
830,Lenovo,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.32,165000
831,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,3.21,277463
832,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.9,241900
833,Toshiba,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD,Windows,2.0,66900
834,Lenovo,Notebook,14.0,1366x768,Intel Celeron Quad,4,16GB Flash Storage,Intel HD,Chrome OS,1.5,32500
835,Asus,Notebook,15.6,1920x1080,Intel Core i5,8,128GB HDD,Intel HD,Windows,2.3,59000
836,Asus,Gaming,17.3,1920x1080,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.73,179900
837,Dell,Gaming,17.3,1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows,4.42,307289
838,HP,Notebook,17.3,1600x900,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.63,91000
839,Dell,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD,Windows,2.18,71399
840,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.54,187000
841,Dell,Notebook,15.6,1920x1080,Intel Core i7,4,256GB SSD,AMD Radeon,Windows,2.18,73900
842,HP,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.4,61500
843,Asus,Ultrabook,13.3,1920x1080,Intel Core i5,8,512GB SSD,Nvidia GeForce,Windows,1.45,102600
844,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.28,227700
845,HP,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.54,146800
846,HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,128GB SSD,Intel HD,No OS,1.86,29900
847,Asus,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.1,189900
848,Dell,Notebook,17.3,1920x1080,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.83,86500
849,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.96,190300
850,Asus,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.3,78700
851,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD,Intel HD,Windows,1.9,94500
852,Asus,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Windows,2.0,44900
853,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.28,255900
854,Dell,Notebook,13.3,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,1.62,64900
855,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,No OS,2.2,46900
856,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,Intel HD,Windows,2.3,85066
857,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,1.84,134900
858,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.05,128500
859,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,No OS,2.5,101700
860,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,16,512GB SSD,Intel Iris,Windows,1.29,224000
861,HP,Notebook,15.6,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.07,91000
862,Toshiba,Ultrabook,13.3,1366x768,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.2,109500
863,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.37,195000
864,Acer,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.56,90200
865,Dell,Workstation,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia Quadro,Windows,2.23,177800
866,Lenovo,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.38,105500
867,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon,No OS,2.2,47900
868,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,2.0,138800
869,Lenovo,Notebook,13.3,1920x1080,Intel Core i3,4,1GB SSD,Intel HD,Windows,1.44,73500
870,Samsung,Ultrabook,15.0,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,1.23,184900
871,Dell,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.6,169000
872,Asus,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Linux,2.0,39899
873,Xiaomi,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,1.28,93500
874,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.18,91250
875,HP,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.04,83900
876,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.28,170000
877,HP,2 in 1 Convertible,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,2.3,68480
878,Asus,Notebook,14.1,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Windows,1.65,34800
879,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,66900
880,Dell,Notebook,15.6,1366x768,Intel Pentium Quad,4,500GB HDD,Intel HD,Windows,2.2,36900
881,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,4,256GB SSD,Intel HD,Windows,1.28,179900
882,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.18,45570
883,Asus,Gaming,17.3,1920x1080,Intel Core i5,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,136990
884,Acer,Netbook,11.6,1366x768,Intel Celeron Dual,4,32GB Flash Storage,Intel HD,Chrome OS,1.25,29700
885,Lenovo,Notebook,17.3,1600x900,AMD A4 Series,4,500GB HDD,AMD Radeon,Windows,2.8,37900
886,HP,Notebook,14.0,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.95,126500
887,HP,2 in 1 Convertible,13.3,3200x1800,Intel Core i7,16,256GB SSD,Intel HD,Windows,1.42,139900
888,Samsung,Ultrabook,15.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.17,169900
889,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.32,179900
890,MSI,Gaming,17.3,3840x2160,Intel Core i7,16,512GB SSD +  2TB HDD,Nvidia GeForce,Windows,2.43,264900
891,Toshiba,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.05,147500
892,Dell,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.62,92900
893,HP,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.04,90000
894,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,AMD Radeon,Windows,2.18,61400
895,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,500GB HDD,Intel HD,Windows,1.9,93500
896,Dell,2 in 1 Convertible,13.3,3200x1800,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.24,201310
897,Asus,Gaming,17.3,1920x1080,Intel Core i7,32,256GB SSD +  256GB SSD,Nvidia GeForce,Windows,3.58,127900
898,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i7,16,256GB SSD,Intel HD,Windows,1.22,164900
899,Lenovo,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB Flash Storage,Intel HD,Windows,1.13,204900
900,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,512GB SSD,Intel HD,Windows,1.95,196299
901,LG,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Intel HD,Windows,1.08,209900
902,HP,Netbook,12.5,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,1.26,148300
903,Acer,Notebook,15.6,1920x1080,Intel Celeron Dual,4,16GB Flash Storage,Intel HD,Chrome OS,2.2,35900
904,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.6,78900
905,LG,Ultrabook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel HD,Windows,0.98,189900
906,Dell,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.6,120500
907,HP,Ultrabook,12.5,3840x2160,Intel Core M,8,240GB SSD,Intel HD,Windows,1.09,310000
908,Lenovo,Notebook,15.6,1920x1080,Intel Core i7,6,256GB SSD,Nvidia GeForce,Windows,2.2,78900
909,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.04,101899
910,Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.4,49900
911,Lenovo,Notebook,13.3,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.44,88100
912,HP,Notebook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.49,96000
913,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,159900
914,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.6,134900
915,MSI,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,111991
916,Dell,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,AMD Radeon,Windows,2.18,68499
917,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,1.84,129699
918,HP,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.39,114900
919,Toshiba,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows,2.4,197500
920,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,512GB SSD,Intel HD,Windows,1.37,182500
921,Dell,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.95,72990
922,Lenovo,Ultrabook,12.5,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.36,165000
923,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,2.31,116500
924,Dell,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,Windows,2.18,70806
925,HP,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.95,114900
926,Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad,4,1TB HDD,Intel HD,Windows,2.2,30900
927,HP,Ultrabook,12.5,1920x1080,Intel Core i5,4,500GB HDD,Intel HD,Windows,1.26,157900
928,HP,Notebook,15.6,1366x768,Intel Celeron Dual,4,1TB HDD,Intel HD,No OS,1.86,28890
929,Lenovo,2 in 1 Convertible,13.3,3200x1800,Intel Core i7,16,1TB SSD,Intel Iris,Windows,1.3,179900
930,Toshiba,Notebook,14.0,1920x1080,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.47,110500
931,HP,Netbook,12.5,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.26,166900
932,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.18,55860
933,MSI,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,119900
934,Dell,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.36,163900
